branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___cjs__,ft___css_,ft___html_,ft___ico_,ft___js_,ft___js__,ft___json_,ft___json__,ft___md__,ft___png_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx____dup1,ft___webmanifest_,ft___xml_,ft___yml_,ft___yml__,ft____cjs_,ft____css_,ft____css__,ft____html_,ft____html__,ft____json_,ft____json__,ft____md_,ft____snap_,ft____svg_,ft____ts_,ft____ts__,ft____tsx_,ft____tsx__,ft____tsx____dup1,ft____yaml__,ft____yml_,ft____yml__,ft___
2,0,4,83806327,271.0,1316,0,0,3,False,8,3,0,0,0,11,True,10398,34,2,0,1,7,253,3,7,43,1,50.87516830159646,0,112.0,0,0,9,0,9,912.0,242.0,259.0,268.0,239.0,243.0,295.0,6863.0,1201.2857142857142,2496.658481136051,256.3333333333333,13.203534880225572,252.0,13.832329280830953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,253.0,1314,1,1,6,False,273,195,0,0,0,468,False,10398,0,5,0,3,7,253,3,7,170,0,50.87516830159646,0,112.0,0,0,10,0,9,654.0,271.0,242.0,259.0,268.0,239.0,243.0,295.0,259.57142857142856,20.26373725695849,257.3333333333333,14.571661996262929,260.0,13.038404810405298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,226.0,1313,1,1,6,False,284,197,0,0,0,481,False,10398,0,5,0,3,7,253,3,7,170,0,50.87516830159646,0,112.0,0,0,10,0,9,2718.0,253.0,271.0,242.0,259.0,268.0,239.0,243.0,253.57142857142858,12.908100077821198,255.33333333333334,14.6401275039985,256.25,12.093386622447824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,257.0,1312,0,0,54,False,259,317,2,2,4,576,False,10398,0,2,0,50,7,253,3,7,309,0,50.87516830159646,0,112.0,0,0,10,0,9,767.0,226.0,253.0,271.0,242.0,259.0,268.0,239.0,251.14285714285714,16.36488691710162,250.0,22.64950330581225,248.0,18.920887928424502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,249.0,1311,0,0,54,False,259,317,2,2,4,576,False,10398,0,2,0,50,7,253,3,7,309,0,50.87516830159646,0,112.0,0,0,11,0,9,2587.0,257.0,226.0,253.0,271.0,242.0,259.0,268.0,253.71428571428572,15.53184133443602,245.33333333333334,16.862186493255653,251.75,18.82153022471871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,282.0,1310,1,1,6,False,290,198,0,0,0,488,True,10398,90,5,0,3,7,253,3,7,170,1,50.87516830159646,0,112.0,0,0,12,0,9,1343.0,249.0,257.0,226.0,253.0,271.0,242.0,259.0,251.0,14.224392195567912,244.0,16.09347693943108,246.25,13.889444433333777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,293.0,1308,0,0,4,False,13,71,0,0,0,84,True,10398,82,1,0,3,7,253,3,7,48,1,50.87516830159646,0,112.0,0,0,12,0,9,815.0,282.0,249.0,257.0,226.0,253.0,271.0,242.0,254.28571428571428,18.418417283743334,262.6666666666667,17.21433511156714,253.5,23.101226518664905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,225.0,1306,0,0,55,False,240,281,2,2,4,521,True,10398,75,2,0,51,7,253,3,7,309,1,50.87516830159646,0,112.0,0,0,12,0,9,2016.0,293.0,282.0,249.0,257.0,226.0,253.0,271.0,261.57142857142856,22.404293806152,274.6666666666667,22.898325994127458,270.25,20.678088241743563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,83806327,605.0,1305,0,0,55,True,240,281,2,2,4,521,True,10398,75,2,0,51,7,253,3,7,309,1,50.87516830159646,0,112.0,0,0,13,0,9,3052.0,225.0,293.0,282.0,249.0,257.0,226.0,253.0,255.0,25.68397684679432,266.6666666666667,36.50114153466071,262.25,31.084562084739105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,213.0,1304,0,0,2,False,9,0,0,0,0,9,False,10398,0,1,0,1,7,253,3,7,51,0,50.87516830159646,0,112.0,0,0,13,0,9,701.0,605.0,225.0,293.0,282.0,249.0,257.0,226.0,305.2857142857143,134.63124239407222,374.3333333333333,202.63596258644054,351.25,171.77189331591282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
