branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat__,ft___config_,ft___gradle_,ft___gradle__,ft___java_,ft___java__,ft___json_,ft___json__,ft___properties_,ft___properties__,ft___tf_,ft___tf__,ft___tfvars_,ft___tfvars__,ft___xml_,ft___xml__,ft___yaml_,ft___yml_,ft___yml__,ft____config_,ft____gradle_,ft____gradle__,ft____jar_,ft____java_,ft____java__,ft____json__,ft____md_,ft____md__,ft____properties_,ft____properties__,ft____tf_,ft____tf__,ft____tfvars_,ft____tfvars__,ft____xml_,ft____xml__,ft____yaml_,ft____yaml__,ft____yml_,ft___
2,0,3,6192976,392.0,2125,0,0,1,False,1,5,0,0,0,6,True,84433,26,1,0,0,147,9770,1,8,7,2,843.1537432046712,47,40,0,0,11,3,8,223250.0,441.0,446.0,388.0,400.0,391.0,446.0,441.0,421.85714285714283,27.3095134304792,425.0,32.14031735997639,418.75,29.067450295247202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,6192976,383.0,2124,0,0,2,False,2,7,0,1,1,9,True,84430,26,1,0,0,147,9771,1,8,10,2,843.1718583441905,47,40,0,0,11,3,8,310.0,392.0,441.0,446.0,388.0,400.0,391.0,446.0,414.85714285714283,27.859340572649188,426.3333333333333,29.83845393671283,416.75,30.99865588483905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,7,6192976,434.0,2118,0,0,1,False,3,3,0,0,0,6,False,84455,0,0,0,1,147,9765,1,7,24,0,842.9222662956604,47,40,0,0,17,1,8,452143.0,383.0,392.0,441.0,446.0,388.0,400.0,391.0,405.85714285714283,26.251530567623238,405.3333333333333,31.214312956291913,415.5,32.60368077380221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,6192976,358.0,2108,0,0,1,False,0,1,0,1,1,1,True,84470,8,0,0,0,147,9769,1,5,1,0,842.7607434592162,47,40,0,0,11,0,8,1104465.0,434.0,383.0,392.0,441.0,446.0,388.0,400.0,412.0,27.209067116190024,403.0,27.2213151776324,412.5,29.24038303442689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,6192976,391.0,2107,0,0,3,False,22,5,0,1,1,27,True,84470,8,0,0,2,147,9770,1,6,0,0,842.7607434592162,47,40,0,0,15,0,8,14238.0,358.0,434.0,383.0,392.0,441.0,446.0,388.0,406.0,34.06366588218792,391.6666666666667,38.7341365378568,391.75,31.62672920173694,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,11,6192976,419.0,2106,0,0,1,False,1,1,0,0,0,2,False,84626,0,0,0,1,147,9770,1,5,24,0,841.2190107059297,47,40,0,0,15,0,8,130.0,391.0,358.0,434.0,383.0,392.0,441.0,446.0,406.42857142857144,33.81743703504226,394.3333333333333,38.109491381194445,391.5,31.628046625318696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,6192976,408.0,2092,0,0,2,False,11,3,0,0,0,14,True,84626,89,1,0,1,147,9772,1,5,2,3,841.2190107059297,47,40,0,0,10,1,8,65729.0,419.0,391.0,358.0,434.0,383.0,392.0,441.0,402.57142857142856,29.859990750484965,389.3333333333333,30.534133905079628,400.5,33.471380810079125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,6192976,349.0,2091,0,0,5,False,73,6,1,1,2,79,True,84520,26,4,0,0,147,9787,1,6,0,2,842.2621864647421,47,40,0,0,9,3,8,168601.0,408.0,419.0,391.0,358.0,434.0,383.0,392.0,397.85714285714283,24.989521613592174,406.0,14.106735979665885,394.0,26.620793877468543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0,11,6192976,371.0,2090,0,0,1,False,1,1,0,0,0,2,False,84699,0,0,0,1,147,9773,1,5,24,0,841.5801839455012,47,40,0,0,9,3,8,45.0,349.0,408.0,419.0,391.0,358.0,434.0,383.0,391.7142857142857,31.186077479725284,392.0,37.64306044943742,391.75,30.73949685122817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,348.0,2073,0,0,1,False,0,1,0,1,1,1,True,84792,89,0,0,0,147,9777,1,5,3,3,841.8954618360223,47,40,0,0,17,3,8,30157.0,371.0,349.0,408.0,419.0,391.0,358.0,434.0,390.0,32.0624390837628,376.0,29.816103031751148,386.75,32.4794807019242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
