branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat_,ft___bin__,ft___bmp_,ft___bmp__,ft___c_,ft___cpp_,ft___cpp__,ft___cpp____dup1,ft___cpp___,ft___css_,ft___css__,ft___csv_,ft___csv__,ft___gif_,ft___h_,ft___hpp_,ft___hpp__,ft___html_,ft___html__,ft___h__,ft___ini_,ft___ini__,ft___inl__,ft___jpg_,ft___jpg__,ft___jpg____dup1,ft___js_,ft___js__,ft___json_,ft___json__,ft___map_,ft___md_,ft___md__,ft___mk_,ft___old_,ft___pdf_,ft___png_,ft___png__,ft___properties_,ft___py_,ft___py__,ft___sh_,ft___tpp__,ft___txt_,ft___txt__,ft___xlsx_,ft___xlsx__,ft___yml_,ft___yml__,ft___zip_,ft___zip__,ft____c_,ft____cpp_,ft____cpp__,ft____csv_,ft____csv__,ft____h_,ft____h__,ft____hpp_,ft____hpp__,ft____html_,ft____html__,ft____h____dup1,ft____ini_,ft____ini__,ft____jpg_,ft____js_,ft____js__,ft____json_,ft____json__,ft____md_,ft____md__,ft____md___,ft____png__,ft____py__,ft____tpp_,ft____yml_,ft____yml__,ft____zip_,ft____zip__
2,0,37,121541665,295.0,756,0,0,3,False,15,3,0,0,0,18,True,116393,7,3,0,0,30,887,3,28,42,0,2.2767692215167576,0,92.0,0,0,15,3,10,82830.0,294.0,307.0,295.0,336.0,310.0,302.0,301.0,306.42857142857144,14.269514624507996,298.6666666666667,7.234178138070235,308.0,19.578900207451216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,37,121541665,317.0,755,0,0,4,False,80,15,0,0,0,95,True,116393,8,4,0,0,31,888,3,29,27,0,2.2767692215167576,0,92.0,0,0,18,3,10,10212.0,295.0,294.0,307.0,295.0,336.0,310.0,302.0,305.57142857142856,14.819549507965739,298.6666666666667,7.234178138070235,297.75,6.18465843842649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,16,121541665,296.0,754,0,0,7,False,102,71,0,0,0,173,True,116393,163,7,0,0,31,889,3,26,259,0,2.2767692215167576,0,92.0,0,0,13,6,11,244255.0,317.0,295.0,294.0,307.0,295.0,336.0,310.0,307.7142857142857,15.293945269444437,302.0,13.0,303.25,10.90489186863706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,16,121541665,299.0,753,2,0,93,False,1449,1305,2,2,4,2754,False,116393,0,94,0,0,31,895,3,25,16,0,2.2767692215167576,0,92.0,0,0,17,0,11,99248.0,296.0,317.0,295.0,294.0,307.0,295.0,336.0,305.7142857142857,15.85049195571214,302.6666666666667,12.423096769056148,300.5,11.030261405182864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,37,121541665,295.0,750,0,0,1,False,0,1,0,0,0,1,True,116393,49,1,0,0,31,915,3,24,158,0,2.2767692215167576,0,92.0,0,0,3,2,11,122869.0,299.0,296.0,317.0,295.0,294.0,307.0,295.0,300.42857142857144,8.560707580902077,304.0,11.357816691600547,301.75,10.307764064044152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,37,121541665,315.0,749,2,0,67,False,1951,1641,2,2,4,3592,True,116393,14,67,0,1,31,923,3,24,56,0,2.2767692215167576,0,92.0,0,0,14,2,11,38197.0,295.0,299.0,296.0,317.0,295.0,294.0,307.0,300.42857142857144,8.560707580902077,296.6666666666667,2.0816659994661326,301.75,10.307764064044152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,22,121541665,305.0,748,2,0,75,False,2002,1648,2,2,4,3650,True,116393,12,74,0,2,31,923,3,24,572,2,2.2767692215167576,0,92.0,0,0,14,2,11,2501.0,315.0,295.0,299.0,296.0,317.0,295.0,294.0,301.57142857142856,9.997618764104828,303.0,10.583005244258363,301.25,9.322910847297997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,22,121541665,312.0,747,0,1,1,False,4,3,0,0,0,7,True,116393,12,1,0,1,31,923,3,24,158,2,2.2767692215167576,0,92.0,0,0,15,2,11,1200.0,305.0,315.0,295.0,299.0,296.0,317.0,295.0,303.14285714285717,9.459185508075759,305.0,10.0,303.5,8.698658900466592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,22,121541665,294.0,746,0,0,1,False,0,1,0,0,0,1,True,116393,12,1,0,0,31,923,3,24,43,2,2.2767692215167576,0,92.0,0,0,15,2,11,553.0,312.0,305.0,315.0,295.0,299.0,296.0,317.0,305.57142857142856,9.198861213163704,310.6666666666667,5.131601439446884,306.75,8.88350531415762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,22,121541665,300.0,745,0,0,24,False,557,290,0,0,0,847,True,116393,31,18,1,5,32,928,4,23,243,0,2.2767692215167576,0,99.0,0,0,11,3,11,73284.0,294.0,312.0,305.0,315.0,295.0,299.0,296.0,302.2857142857143,8.518886580500327,303.6666666666667,9.073771725877465,306.5,9.327379053088816,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
