branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___in_,ft___in__,ft___json5_,ft___json5__,ft___md_,ft___sh_,ft___sh__,ft___yml__,ft___yml____dup1,ft____cosmic_,ft____in_,ft____in__,ft____json_,ft____json__,ft____json5_,ft____json5__,ft____pub_,ft____py_,ft____py__,ft____sh_,ft____sh__,ft____txt_,ft____txt__,ft____yml__,ft___
1,1,2,105026558,2622.0,1366,0,0,1,False,1,1,0,0,0,2,False,1294,0,0,0,1,3,166,12,2,63,0,0.0,0,43.0,0,0,20,5,10,14791.0,2719.0,2574.0,3041.0,2671.0,2714.0,2589.0,1424.0,2533.1428571428573,513.0241802525584,2778.0,239.02510328415298,2751.25,202.3633283642732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,105026558,2651.0,1365,0,0,1,False,0,13,0,0,0,13,False,1283,0,1,0,0,3,166,12,2,8,0,0.0,0,43.0,0,0,23,5,10,12061.0,2622.0,2719.0,2574.0,3041.0,2671.0,2714.0,2589.0,2704.285714285714,159.07620216499416,2638.3333333333335,73.86699759251985,2739.0,210.17294465907514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2738.0,1364,0,0,1,False,3,2,0,0,0,5,False,1284,0,0,0,1,3,167,12,2,4,0,0.0,0,43.0,0,0,14,0,10,140518.0,2651.0,2622.0,2719.0,2574.0,3041.0,2671.0,2714.0,2713.1428571428573,153.20512238110553,2664.0,49.78955713801841,2641.5,60.643768572431796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1661.0,1352,0,0,1,False,1,1,0,0,0,2,False,1717,0,1,0,0,3,179,10,2,24,0,0.0,0,42.0,0,0,2,1,10,44415.0,2738.0,2651.0,2622.0,2719.0,2574.0,3041.0,2671.0,2716.5714285714284,153.4957731696622,2670.3333333333335,60.36831398451785,2682.5,54.96968861715215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1640.0,1339,0,0,1,False,2,2,0,0,0,4,False,1887,0,1,0,0,3,191,11,2,15,0,0.0,0,52.0,0,0,4,2,10,91744.0,1661.0,2738.0,2651.0,2622.0,2719.0,2574.0,3041.0,2572.285714285714,429.68814826790924,2350.0,598.2750203710665,2418.0,507.0680427713819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1690.0,1334,0,1,12,False,270,310,0,0,0,580,False,1810,0,6,0,7,3,193,17,2,650,0,0.0,0,57.0,0,0,16,6,10,390544.0,1640.0,1661.0,2738.0,2651.0,2622.0,2719.0,2574.0,2372.1428571428573,496.12747977760336,2013.0,627.9562086642667,2172.5,603.8600831318461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1792.0,1326,0,0,1,False,7,6,0,0,0,13,False,1819,0,1,0,0,3,198,19,2,24,0,0.0,0,42.0,0,0,0,0,10,27004.0,1690.0,1640.0,1661.0,2738.0,2651.0,2622.0,2719.0,2245.8571428571427,546.1670771755436,1663.6666666666667,25.106440076867397,1932.25,537.5576713246681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1732.0,1320,0,0,1,False,1,1,0,0,0,2,False,1819,0,1,0,0,3,203,19,2,25,0,0.0,0,42.0,0,0,22,0,10,78631.0,1792.0,1690.0,1640.0,1661.0,2738.0,2651.0,2622.0,2113.4285714285716,524.2696053059143,1707.3333333333333,77.4682730757136,1695.75,67.36158648171325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1771.0,1319,0,0,1,False,171,131,0,0,0,302,False,1855,0,0,0,1,3,203,19,2,56,0,0.0,0,42.0,0,0,0,1,10,7507.0,1732.0,1792.0,1690.0,1640.0,1661.0,2738.0,2651.0,1986.2857142857142,486.96978492363513,1738.0,51.264022471905186,1713.5,64.4437739428721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1795.0,1310,0,0,2,False,11,3,0,0,0,14,True,1897,50,2,0,0,4,209,20,3,0,1,0.0,0,52.0,0,0,21,5,10,420838.0,1771.0,1732.0,1792.0,1690.0,1640.0,1661.0,2738.0,1860.5714285714287,390.87758405194546,1765.0,30.44667469527666,1746.25,44.9916658949188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1773.0,1301,0,0,4,False,83,24,0,0,0,107,False,1902,0,1,0,3,4,212,20,3,475,0,0.0,0,52.0,0,0,16,6,10,70206.0,1795.0,1771.0,1732.0,1792.0,1690.0,1640.0,1661.0,1725.857142857143,63.3704152093824,1766.0,31.796226191169293,1772.5,29.03446228191595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1716.0,1300,0,0,1,False,6,27,0,0,0,33,False,1889,0,1,0,0,4,214,20,3,31,0,0.0,0,52.0,0,0,23,6,10,23909.0,1773.0,1795.0,1771.0,1732.0,1792.0,1690.0,1640.0,1741.857142857143,58.19343769254563,1779.6666666666667,13.316656236958785,1767.75,26.196373794859472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1788.0,1299,0,0,1,False,17,1,0,0,0,18,False,1889,0,0,0,1,4,214,20,3,450,0,0.0,0,52.0,0,0,23,6,10,2240.0,1716.0,1773.0,1795.0,1771.0,1732.0,1792.0,1690.0,1752.7142857142858,40.38858867598737,1761.3333333333333,40.77172222672637,1763.75,33.63901504701547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,105026558,1835.0,1294,0,0,1,False,7,6,0,0,0,13,False,1898,0,1,0,0,4,216,20,3,40,0,0.0,0,52.0,0,0,23,1,10,171072.0,1788.0,1716.0,1773.0,1795.0,1771.0,1732.0,1792.0,1766.7142857142858,30.89613937972556,1759.0,37.986839826445156,1768.0,35.86084215408221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1948.0,1266,0,0,1,False,1,1,0,0,0,2,False,2308,0,0,0,1,4,237,14,3,26,0,0.0,0,55.0,0,0,0,5,11,1471867.0,1835.0,1788.0,1716.0,1773.0,1795.0,1771.0,1732.0,1772.857142857143,39.76358707590221,1779.6666666666667,59.936077059925545,1778.0,49.05099387372289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1735.0,1256,0,0,2,False,32,32,0,0,0,64,False,2323,0,0,0,2,4,238,15,3,86,0,0.0,0,77.0,0,0,1,5,11,5919.0,1948.0,1835.0,1788.0,1716.0,1773.0,1795.0,1771.0,1803.7142857142858,72.83248882587652,1857.0,82.23746105030237,1821.75,97.35972815628989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1660.0,1255,0,0,8,False,50,48,0,0,0,98,False,2322,0,5,0,3,4,238,15,3,505,0,0.0,0,77.0,0,0,4,5,11,9042.0,1735.0,1948.0,1835.0,1788.0,1716.0,1773.0,1795.0,1798.5714285714287,76.69606061777692,1839.3333333333333,106.56609842409233,1826.5,90.71751025390118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1600.0,1254,0,0,1,False,4,4,0,0,0,8,False,2322,0,0,0,1,4,238,15,3,49,0,0.0,0,77.0,0,0,5,5,11,3393.0,1660.0,1735.0,1948.0,1835.0,1788.0,1716.0,1773.0,1779.2857142857142,92.98694224766953,1781.0,149.40883508012504,1794.5,124.94398745037714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1636.0,1247,0,0,1,False,23,20,0,0,0,43,False,1953,0,0,0,1,5,254,18,4,450,0,0.0,0,84.0,0,0,5,6,11,85273.0,1600.0,1660.0,1735.0,1948.0,1835.0,1788.0,1716.0,1754.5714285714287,115.25892177015646,1665.0,67.63874629234341,1735.75,151.89552330467149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,105026558,1546.0,1243,0,0,1,False,1,1,0,0,0,2,False,1964,0,0,0,1,5,254,18,4,56,0,0.0,0,84.0,0,0,5,6,11,2711.0,1636.0,1600.0,1660.0,1735.0,1948.0,1835.0,1788.0,1743.142857142857,123.39966041475232,1632.0,30.199337741083,1657.75,57.09859893202284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,3448.0,1236,0,0,1,False,1,1,0,0,0,2,False,1971,0,0,0,1,5,255,24,4,450,0,0.0,0,85.0,0,0,13,6,11,27666.0,1546.0,1636.0,1600.0,1660.0,1735.0,1948.0,1835.0,1708.5714285714287,141.33395103189366,1594.0,45.2990066116245,1610.5,49.56813492557492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,105026558,1772.0,1232,0,0,1,False,1,0,0,0,0,1,False,2030,0,0,0,1,5,260,24,4,56,0,0.0,0,69.0,0,0,20,6,11,23941.0,3448.0,1546.0,1636.0,1600.0,1660.0,1735.0,1948.0,1939.0,677.9623883372882,2210.0,1073.083407755427,2057.5,927.7375706523909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1610.0,1217,0,0,5,False,15,9,0,0,0,24,False,2052,0,0,0,5,5,272,25,4,498,0,0.0,0,74.0,0,0,1,1,11,104899.0,1772.0,3448.0,1546.0,1636.0,1600.0,1660.0,1735.0,1913.857142857143,680.8304802644657,2255.3333333333335,1039.0425079530353,2100.5,903.1240224908205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1651.0,1213,0,0,1,False,1,1,0,0,0,2,False,2107,0,0,0,1,5,272,25,4,450,0,0.0,0,74.0,0,0,3,1,11,6303.0,1610.0,1772.0,3448.0,1546.0,1636.0,1600.0,1660.0,1896.0,687.9060013306082,2276.6666666666665,1017.633201764434,2094.0,907.6636675186097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,105026558,1507.0,1210,0,0,2,False,4,2,0,0,0,6,False,2109,0,1,0,1,5,273,25,4,32,0,0.0,0,74.0,0,0,0,2,11,76467.0,1651.0,1610.0,1772.0,3448.0,1546.0,1636.0,1600.0,1894.7142857142858,688.4288184665413,1677.6666666666667,84.22786553945988,2120.25,887.834209373199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,105026558,25.0,1201,0,0,1,False,1,1,0,0,0,2,True,2109,309,0,0,1,5,275,25,4,0,0,0.0,0,74.0,0,0,1,2,11,608933.0,1507.0,1651.0,1610.0,1772.0,3448.0,1546.0,1636.0,1881.4285714285713,695.9209383119266,1589.3333333333333,74.19119444606169,1635.0,109.59622864557582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0,2,105026558,1537.0,1194,0,0,1,False,0,2,0,0,0,2,True,2046,6,1,0,0,5,280,25,4,15,0,0.0,0,74.0,0,0,0,5,11,254097.0,25.0,1507.0,1651.0,1610.0,1772.0,3448.0,1546.0,1651.2857142857142,993.4088977330724,1061.0,900.0866624942289,1198.25,784.508922830072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1524.0,1193,1,0,11,False,145,206,0,0,0,351,True,2046,6,12,0,0,5,280,25,4,0,0,0.0,0,74.0,0,0,0,5,11,2137.0,1537.0,25.0,1507.0,1651.0,1610.0,1772.0,3448.0,1650.0,993.5736845683195,1023.0,864.4235073157139,1180.0,772.4946601757192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,2,105026558,1560.0,1189,0,0,4,False,49,42,0,0,0,91,True,1910,4,1,0,3,5,280,24,4,488,0,0.0,0,66.0,0,0,3,5,11,10730.0,1524.0,1537.0,25.0,1507.0,1651.0,1610.0,1772.0,1375.142857142857,602.4088945147441,1028.6666666666667,869.225133859654,1148.25,748.9340758705001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,105026558,1863.0,1183,0,0,1,False,1,0,0,0,0,1,True,1925,4,1,0,0,5,280,24,4,20,0,0.0,0,66.0,0,0,4,5,11,4363.0,1560.0,1524.0,1537.0,25.0,1507.0,1651.0,1610.0,1344.857142857143,584.1853098037268,1540.3333333333333,18.23001188516709,1161.5,757.8128616837625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,2,105026558,1662.0,1182,0,0,1,False,1,1,0,0,0,2,True,1925,4,0,0,1,5,280,24,4,450,0,0.0,0,66.0,0,0,5,5,11,2214.0,1863.0,1560.0,1524.0,1537.0,25.0,1507.0,1651.0,1381.0,610.5546658572024,1649.0,186.20150375332634,1621.0,162.0185174601965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,2,105026558,1498.0,1177,0,0,1,False,0,7,0,0,0,7,True,1920,4,1,0,0,5,280,24,4,12,0,0.0,0,66.0,0,0,7,5,11,8507.0,1662.0,1863.0,1560.0,1524.0,1537.0,25.0,1507.0,1382.5714285714287,611.379003331228,1695.0,154.17198189035517,1652.25,152.17177793533202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,105026558,1595.0,1176,0,0,1,False,1,1,0,0,0,2,True,1920,4,0,0,1,5,280,24,4,25,0,0.0,0,66.0,0,0,13,5,11,20659.0,1498.0,1662.0,1863.0,1560.0,1524.0,1537.0,25.0,1381.2857142857142,611.0831133557623,1674.3333333333333,182.8122898859191,1645.75,159.838199439308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,1555.0,1175,0,1,18,False,121,297,0,0,0,418,True,1920,4,14,0,5,5,282,24,4,574,0,0.0,0,66.0,0,0,19,5,11,20265.0,1595.0,1498.0,1662.0,1863.0,1560.0,1524.0,1537.0,1605.5714285714287,125.54528683952674,1585.0,82.45604889879213,1654.5,154.4463229302228,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
