branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___DotSettings_,ft___cs_,ft___cs__,ft___csproj_,ft___css_,ft___css__,ft___cs____dup1,ft___deb_,ft___ico__,ft___js__,ft___json_,ft___json__,ft___mjs__,ft___png_,ft___png__,ft___props_,ft___sh_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx____dup1,ft___ts____dup1,ft___yml_,ft___yml__,ft____cs_,ft____csproj_,ft____css_,ft____cs__,ft____json_,ft____json__,ft____md_,ft____sh_,ft____svg_,ft____svg__,ft____ts_,ft____ts__,ft____tsx__,ft____tsx____dup1,ft____yml_,ft____yml__,ft___
2,0,0,75763098,29.0,1053,0,0,4,False,2,2,0,0,0,4,True,490597,289,4,0,0,91,7606,3,7,222,0,0.0264983275478651,0,131.0,0,0,16,3,8,0.0,120.0,197.0,107.0,189.0,28.0,114.0,29.0,112.0,67.32013071882734,141.33333333333334,48.6449723335653,153.25,46.32044185166343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,75763098,29.0,1050,0,0,3,False,2,2,0,0,0,4,False,578135,0,2,0,1,91,7610,3,7,221,0,0.0224860975377723,0,131.0,0,0,16,5,8,174816.0,29.0,120.0,197.0,107.0,189.0,28.0,114.0,112.0,67.32013071882734,115.33333333333333,84.09716602438714,113.25,68.79135120056881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,75763098,110.0,1049,2,0,5,False,87778,28,0,0,0,87806,True,578135,289,7,0,0,91,7610,3,7,220,0,0.0224860975377723,0,131.0,0,0,6,0,8,134613.0,29.0,29.0,120.0,197.0,107.0,189.0,28.0,99.85714285714286,74.212372219706,59.333333333333336,52.53887449625594,93.75,81.10641158379528,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,327.0,1047,0,0,2,False,1,1,0,0,0,2,True,489337,289,2,0,0,91,7611,1,7,220,0,0.0,0,106.0,0,0,15,0,8,32740.0,110.0,29.0,29.0,120.0,197.0,107.0,189.0,111.57142857142857,67.11149216752955,56.0,46.76537180435969,72.0,49.8196748283246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,75763098,129.0,1045,0,0,2,False,1,1,0,0,0,2,True,578135,289,2,0,0,91,7611,3,7,220,0,0.0224860975377723,0,131.0,0,0,15,0,8,8.0,327.0,110.0,29.0,29.0,120.0,197.0,107.0,131.28571428571428,103.85681535286018,155.33333333333334,154.0854741152888,123.75,140.77730640980457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,75763098,33.0,1046,0,0,4,False,2,2,0,0,0,4,True,578135,289,4,0,0,91,7611,3,7,220,0,0.0224860975377723,0,131.0,0,0,15,0,8,0.0,129.0,327.0,110.0,29.0,29.0,120.0,197.0,134.42857142857142,103.33095235352143,188.66666666666666,120.17625944142766,148.75,126.49736492644159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,204.0,1044,0,0,1,False,0,0,0,0,0,0,True,489337,398,1,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,19,1,8,102551.0,33.0,129.0,327.0,110.0,29.0,29.0,120.0,111.0,105.35179163165665,163.0,149.91997865528128,149.75,125.2447603694462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,241.0,1043,0,0,2,False,1,1,0,0,0,2,True,489337,405,2,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,18,3,8,166375.0,204.0,33.0,129.0,327.0,110.0,29.0,29.0,123.0,111.17103939425951,122.0,85.71464285639881,173.25,124.11385901663037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,213.0,1042,0,0,2,False,1,1,0,0,0,2,True,489337,357,2,0,0,91,7611,1,7,218,0,0.0,0,106.0,0,0,20,5,8,182749.0,241.0,204.0,33.0,129.0,327.0,110.0,29.0,153.28571428571428,110.16762120471132,159.33333333333334,110.96095409347079,151.75,91.859947746556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,75763098,109.0,1041,2,0,5,False,87687,7,0,0,0,87694,True,665613,289,7,0,0,91,7613,3,7,218,0,0.0195308685377238,0,131.0,0,0,6,0,8,121898.0,213.0,241.0,204.0,33.0,129.0,327.0,110.0,179.57142857142858,96.69859899512014,219.33333333333334,19.295940851208407,172.75,94.48941739687042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
