branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___DotSettings_,ft___cs_,ft___cs__,ft___csproj_,ft___css_,ft___css__,ft___cs__,ft___cs___,ft___deb_,ft___ico__,ft___js__,ft___json_,ft___json__,ft___mjs__,ft___png_,ft___png__,ft___props_,ft___sh_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx__,ft___ts__,ft___yml_,ft___yml__,ft____cs_,ft____csproj_,ft____css_,ft____cs__,ft____json_,ft____json__,ft____md_,ft____sh_,ft____svg_,ft____svg__,ft____ts_,ft____ts__,ft____tsx__,ft____tsx__,ft____yml_,ft____yml__,ft___
1,success,1,0,75763098,114.0,846,0,0,2,False,1,1,0,0,0,2,True,757480,289,2,0,0,92,7685,3,5,200,0,0.0171621692981992,0,131.0,0,0,114.0,1.0,False,21,6,10,0.0,26.0,85.0,110.0,115.0,29.0,116.0,144.0,89.28571428571429,45.562097865493,73.66666666666667,43.131581623368895,84.0,40.83299319586226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,26.0,845,0,0,2,False,1,1,0,0,0,2,False,665608,0,2,0,0,92,7685,3,5,200,0,0.0195310152522205,0,131.0,0,0,26.0,1.0,False,21,6,10,11.0,114.0,26.0,85.0,110.0,115.0,29.0,116.0,85.0,40.710359042058734,75.0,44.844174649557324,83.75,40.582221066209115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,109.0,844,2,4,48,False,95427,187876,0,0,0,283303,True,665608,289,53,0,1,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,109.0,1.0,False,6,3,10,290351.0,26.0,114.0,26.0,85.0,110.0,115.0,29.0,72.14285714285714,43.41055390658118,55.333333333333336,50.80682368868706,62.75,44.05583578445274,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,108.0,843,0,0,2,False,1,1,0,0,0,2,True,665608,426,2,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,108.0,1.0,False,6,3,10,10.0,109.0,26.0,114.0,26.0,85.0,110.0,115.0,83.57142857142857,40.599085140994426,83.0,49.42671342502959,68.75,49.40563395673277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,28.0,841,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,28.0,1.0,False,8,3,10,5884.0,108.0,109.0,26.0,114.0,26.0,85.0,110.0,82.57142857142857,39.77376498337039,81.0,47.634021455258214,89.25,42.24827412648553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,failure,1,0,75763098,105.0,842,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,105.0,1.0,False,8,3,10,0.0,28.0,108.0,109.0,26.0,114.0,26.0,85.0,70.85714285714286,42.34158149868193,81.66666666666667,46.47938611183815,67.75,47.0629011713756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,26.0,840,0,0,4,False,2,2,0,0,0,4,True,665608,426,4,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,26.0,1.0,False,8,3,10,8.0,105.0,28.0,108.0,109.0,26.0,114.0,26.0,73.71428571428571,44.09351534225974,80.33333333333333,45.34681172181054,87.5,39.70306453327417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,0,75763098,115.0,839,0,0,2,False,1,1,0,0,0,2,True,665608,426,2,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,115.0,1.0,False,8,3,10,0.0,26.0,105.0,28.0,108.0,109.0,26.0,114.0,73.71428571428571,44.09351534225974,53.0,45.044422518220834,66.75,45.92294270478174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,119.0,838,0,0,2,False,1,1,0,0,0,2,True,665608,355,2,0,0,92,7688,3,5,200,0,0.0195310152522205,0,131.0,0,0,119.0,1.0,False,6,4,10,79012.0,115.0,26.0,105.0,28.0,108.0,109.0,26.0,73.85714285714286,44.2471414196389,82.0,48.75448697299562,68.5,48.10058904698223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,0,75763098,124.0,837,0,0,2,False,1,1,0,0,0,2,True,665608,355,2,0,0,92,7689,3,5,200,0,0.0195310152522205,0,131.0,0,0,124.0,1.0,False,0,5,10,67833.0,119.0,115.0,26.0,105.0,28.0,108.0,109.0,87.14285714285714,41.349843092925084,86.66666666666667,52.57692776621066,91.25,43.89665894651513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
