branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___cjs__,ft___css_,ft___html_,ft___ico_,ft___js_,ft___js__,ft___json_,ft___json__,ft___md__,ft___png_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx__,ft___webmanifest_,ft___xml_,ft___yml_,ft___yml__,ft____cjs_,ft____css_,ft____css__,ft____html_,ft____html__,ft____json_,ft____json__,ft____md_,ft____snap_,ft____svg_,ft____ts_,ft____ts__,ft____tsx_,ft____tsx__,ft____tsx__,ft____yaml__,ft____yml_,ft____yml__,ft___
2,success,0,2,83806327,266.0,1174,4,1,10,False,340,105,48,1,49,445,False,11951,0,9,0,5,7,281,3,7,217,0,48.78252865868965,0,112.0,0,0,266.0,1.0,False,8,3,10,577.0,256.0,260.0,262.0,207.0,261.0,264.0,226.0,248.0,22.338307903688676,259.3333333333333,3.055050463303893,246.25,26.28529373369578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,234.0,1173,4,1,10,False,353,105,48,1,49,458,False,11951,0,9,0,5,7,281,3,7,217,0,48.78252865868965,0,112.0,0,0,234.0,1.0,False,9,3,10,3845.0,266.0,256.0,260.0,262.0,207.0,261.0,264.0,253.71428571428572,20.83838034104607,260.6666666666667,5.033222956847167,261.0,4.163331998932265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,266.0,1172,4,1,10,False,353,105,48,1,49,458,False,11951,0,9,0,5,7,281,3,7,217,0,48.78252865868965,0,112.0,0,0,266.0,1.0,False,9,3,10,121.0,234.0,266.0,256.0,260.0,262.0,207.0,261.0,249.42857142857142,21.446500436024078,252.0,16.3707055437449,254.0,13.9522996909709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,285.0,1171,4,1,10,False,360,105,48,1,49,465,False,11951,0,9,0,5,7,281,3,7,217,0,48.78252865868965,0,112.0,0,0,285.0,1.0,False,9,3,10,555.0,266.0,234.0,266.0,256.0,260.0,262.0,207.0,250.14285714285714,21.97292706513003,255.33333333333334,18.475208614068027,255.5,15.088627063675034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,232.0,1170,4,1,10,False,360,105,49,1,50,465,False,11951,0,9,0,5,7,281,3,7,217,0,48.78252865868965,0,112.0,0,0,232.0,1.0,False,9,3,10,1478.0,285.0,266.0,234.0,266.0,256.0,260.0,262.0,261.2857142857143,15.173598625181018,261.6666666666667,25.774664562964407,262.75,21.156165374030646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,244.0,1169,6,0,3,False,552,5,0,0,0,557,False,11951,0,4,0,5,7,281,3,7,162,0,48.78252865868965,0,112.0,0,0,244.0,1.0,False,11,3,10,6364.0,232.0,285.0,266.0,234.0,266.0,256.0,260.0,257.0,18.752777572046938,261.0,26.851443164195103,254.25,25.747168129071333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,83806327,302.0,1168,0,0,3,False,131,3,0,0,0,134,True,11951,17,3,0,0,7,281,3,7,67,1,48.78252865868965,0,112.0,0,0,302.0,1.0,False,8,4,10,75181.0,244.0,232.0,285.0,266.0,234.0,266.0,256.0,254.71428571428572,19.293472866181848,253.66666666666666,27.79088579612628,256.75,23.51418011895517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,6,83806327,112.0,1167,0,0,11,False,401,190,0,0,0,591,False,12457,0,2,0,9,7,283,3,6,88,0,46.800995424259455,0,112.0,0,0,112.0,1.0,False,7,0,10,256270.0,302.0,244.0,232.0,285.0,266.0,234.0,266.0,261.2857142857143,26.348398342937188,259.3333333333333,37.43438704364389,265.75,33.14991201597173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,302.0,1165,6,0,2,False,424,5,0,0,0,429,True,12457,92,3,0,5,7,283,3,6,144,1,46.800995424259455,0,112.0,0,0,302.0,1.0,False,8,0,10,1775.0,112.0,302.0,244.0,232.0,285.0,266.0,234.0,239.28571428571428,61.96965463223186,219.33333333333334,97.37213838328361,222.5,79.75587752636166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,2,83806327,162.0,1164,4,1,10,False,360,105,49,1,50,465,False,12457,0,9,0,5,7,283,3,6,217,0,46.800995424259455,0,112.0,0,0,162.0,1.0,False,8,0,10,111.0,302.0,112.0,302.0,244.0,232.0,285.0,266.0,249.0,66.18912297349165,238.66666666666666,109.6965511460289,240.0,89.60654737982784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
