branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___Dockerfile_,ft___Dockerfile__,ft___css_,ft___css__,ft___hbs_,ft___hbs__,ft___html_,ft___html__,ft___j2_,ft___j2__,ft___jpg_,ft___jpg__,ft___js__,ft___json_,ft___json5_,ft___json5__,ft___js__,ft___lock_,ft___lock__,ft___md_,ft___md__,ft___mjs_,ft___mjs__,ft___new_,ft___patch_,ft___patch__,ft___png_,ft___png__,ft___rs_,ft___rs__,ft___sample__,ft___snap_,ft___snap__,ft___snap___,ft___sql_,ft___sql__,ft___svg_,ft___toml_,ft___toml__,ft___ts_,ft___ts__,ft___txt__,ft___typ_,ft___typ__,ft___yaml_,ft___yaml__,ft___yml_,ft___yml__,ft____Dockerfile_,ft____Dockerfile__,ft____css_,ft____css__,ft____hbs_,ft____hbs__,ft____hbs__,ft____html_,ft____html__,ft____j2__,ft____j2__,ft____js__,ft____json_,ft____json__,ft____json5__,ft____lock__,ft____md_,ft____md__,ft____mjs__,ft____patch_,ft____pem_,ft____png_,ft____rs_,ft____rs__,ft____rs__,ft____sample_,ft____sh_,ft____snap_,ft____snap__,ft____sql_,ft____sql__,ft____svg_,ft____toml_,ft____toml__,ft____ts_,ft____ts__,ft____txt__,ft____typ_,ft____typ__,ft____webp_,ft____yaml__,ft____yml_,ft____yml__,ft___
2,success,0,9,51073,615.0,5462,0,0,2,True,25,18,0,0,0,43,True,64412,9,2,0,0,368,17838,8,16,6,1,507.8091038936844,0,268.0,0,0,615.0,1.0,False,13,3,10,50.0,316.0,338.0,328.0,632.0,631.0,326.0,650.0,460.14285714285717,166.29534827271283,327.3333333333333,11.015141094572202,403.5,152.59860200320753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,9,51073,632.0,5461,0,0,1,True,8,9,0,0,0,17,True,64403,18,1,0,0,368,17838,8,16,39,1,507.8800676987096,0,268.0,0,0,632.0,1.0,False,13,3,10,28.0,615.0,316.0,338.0,328.0,632.0,631.0,326.0,455.14285714285717,160.04419032611855,423.0,166.64033125267125,399.25,144.11424865941143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,9,51073,613.0,5460,0,0,1,True,1,1,0,0,0,2,True,64409,28,1,0,0,368,17838,8,16,15,1,507.8327562918225,0,268.0,0,0,613.0,1.0,False,13,3,10,81.0,632.0,615.0,316.0,338.0,328.0,632.0,631.0,498.85714285714283,160.68025036432715,521.0,177.73857206582932,475.25,171.56024209200297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,27,51073,674.0,5459,0,0,2,True,3,3,0,0,0,6,True,64409,153,0,0,2,368,17838,8,16,1093,1,507.8327562918225,0,268.0,0,0,674.0,1.0,False,14,3,10,2687.0,613.0,632.0,615.0,316.0,338.0,328.0,632.0,496.2857142857143,158.34004998285,620.0,10.44030650891055,544.0,152.23884742951344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,27,51073,336.0,5456,0,0,2,True,616,597,0,0,0,1213,True,64409,209,1,0,1,368,17838,8,16,764,0,507.8327562918225,0,268.0,0,0,336.0,1.0,False,14,3,10,23.0,674.0,613.0,632.0,615.0,316.0,338.0,328.0,502.2857142857143,164.99567093888078,639.6666666666666,31.214312956291913,633.5,28.313718700775894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,9,51073,635.0,5454,0,0,2,True,3,3,0,0,0,6,True,64409,153,0,0,2,368,17838,8,16,1093,1,507.8327562918225,0,268.0,0,0,635.0,1.0,False,14,3,10,655.0,336.0,674.0,613.0,632.0,615.0,316.0,338.0,503.42857142857144,163.60914516295347,541.0,180.13605968822566,563.75,153.95751578492903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,17,51073,620.0,5453,0,0,2,True,109,2,89,0,89,111,False,64409,0,1,0,0,368,17838,8,16,47,0,507.8327562918225,0,268.0,0,0,620.0,1.0,False,15,3,10,5313.0,635.0,336.0,674.0,613.0,632.0,615.0,316.0,545.8571428571429,151.6305032762522,548.3333333333334,184.91709854238286,564.5,154.40746959479216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,27,51073,338.0,5452,0,0,2,True,71,71,0,0,0,142,True,64409,650,1,0,1,368,17838,8,16,764,0,507.8327562918225,0,268.0,0,0,338.0,1.0,False,18,3,10,10871.0,620.0,635.0,336.0,674.0,613.0,632.0,615.0,589.2857142857143,113.58655185322232,530.3333333333334,168.46463526014395,566.25,155.17812345817305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,17,51073,633.0,5450,0,0,2,True,116,55,43,31,74,171,False,64409,0,1,0,0,368,17838,8,16,47,0,507.8327562918225,0,268.0,0,0,633.0,1.0,False,20,3,10,6542.0,338.0,620.0,635.0,336.0,674.0,613.0,632.0,549.7142857142857,146.59094365582328,531.0,167.31108749870702,482.25,167.8339953644672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,27,51073,629.0,5449,0,0,2,True,8,8,0,0,0,16,True,64409,136,0,0,2,368,17838,8,16,1102,1,507.8327562918225,0,268.0,0,0,629.0,1.0,False,22,3,10,6596.0,633.0,338.0,620.0,635.0,336.0,674.0,613.0,549.8571428571429,146.68495556967042,530.3333333333334,166.69233135730428,556.5,145.81838018576397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
