branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___in_,ft___in__,ft___json5_,ft___json5__,ft___md_,ft___sh_,ft___sh__,ft___yml__,ft___yml__,ft____cosmic_,ft____cosmic__,ft____in_,ft____in__,ft____json_,ft____json__,ft____json5_,ft____json5__,ft____md_,ft____md__,ft____pub_,ft____py_,ft____py__,ft____sh_,ft____sh__,ft____txt_,ft____txt__,ft____yml__,ft___
1,failure,2,2,105026558,1777.0,1351,0,0,1,False,1,1,0,0,0,2,False,1717,0,1,0,0,3,183,10,2,24,0,0.0,0,42.0,0,0,1777.0,1.0,False,6,1,10,14354.0,1661.0,1791.0,2738.0,2651.0,2622.0,1768.0,2719.0,2278.5714285714284,506.86975879505025,2063.3333333333335,587.8829248526728,2210.25,562.7985874182699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,1602.0,1349,0,0,1,False,1,0,0,0,0,1,False,1724,0,1,0,0,3,183,10,2,16,0,0.0,0,42.0,0,0,1602.0,1.0,False,8,1,10,6051.0,1777.0,1661.0,1791.0,2738.0,2651.0,2622.0,1768.0,2144.0,495.3672038666535,1743.0,71.35825109964509,1991.75,500.9001064750003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,1657.0,1347,0,0,1,False,0,6,0,0,0,6,False,1717,0,1,0,0,3,183,10,2,16,0,0.0,0,42.0,0,0,1657.0,1.0,False,9,1,10,4322.0,1602.0,1777.0,1661.0,1791.0,2738.0,2651.0,2622.0,2120.285714285714,519.7408694999571,1680.0,89.03370148432559,1707.75,91.45991836136017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,529.0,1345,1,0,4,False,206,170,0,0,0,376,False,1888,0,3,0,2,3,191,11,2,504,0,0.0,0,52.0,0,0,529.0,1.0,False,2,2,10,59118.0,1657.0,1602.0,1777.0,1661.0,1791.0,2738.0,2651.0,1982.4285714285713,491.70921526950497,1678.6666666666667,89.48929172439199,1674.25,73.59970561535329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,589.0,1342,0,0,1,False,1,1,0,0,0,2,False,1891,0,0,0,1,3,191,11,2,56,0,0.0,0,52.0,0,0,589.0,1.0,False,2,2,10,940.0,529.0,1657.0,1602.0,1777.0,1661.0,1791.0,2738.0,1679.2857142857142,641.9846089239508,1262.6666666666667,635.9688147490672,1391.25,579.4585835070527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,1,2,105026558,498.0,1341,0,0,2,False,4,7,0,0,0,11,False,1886,0,0,0,2,3,191,11,2,483,0,0.0,0,52.0,0,0,498.0,1.0,False,2,2,10,1702.0,589.0,529.0,1657.0,1602.0,1777.0,1661.0,1791.0,1372.2857142857142,559.9061571030495,925.0,634.6400554645129,1094.25,618.9460800425187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,success,1,2,105026558,1640.0,1339,0,0,1,False,2,2,0,0,0,4,False,1887,0,1,0,0,3,191,11,2,15,0,0.0,0,52.0,0,0,1640.0,1.0,False,4,2,10,5257.0,498.0,589.0,529.0,1657.0,1602.0,1777.0,1661.0,1187.5714285714287,609.8070342720056,538.6666666666666,46.26373669877232,818.25,560.4411209038823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,172.0,1338,0,1,12,False,249,305,0,0,0,554,False,1810,0,6,0,7,3,193,19,2,650,0,0.0,0,45.0,0,0,172.0,1.0,False,16,6,10,389461.0,1640.0,498.0,589.0,529.0,1657.0,1602.0,1777.0,1184.5714285714287,607.1355853906268,909.0,634.6975657744404,814.0,551.9607473966483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,1690.0,1334,0,1,12,False,270,310,0,0,0,580,False,1810,0,6,0,7,3,193,17,2,650,0,0.0,0,57.0,0,0,1690.0,1.0,False,16,6,10,1083.0,172.0,1640.0,498.0,589.0,529.0,1657.0,1602.0,955.2857142857143,647.8178021341377,770.0,770.8722332526967,724.75,635.8875031534011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,632.0,1330,0,0,3,False,23,8,0,0,0,31,False,1810,0,1,0,2,3,193,19,2,463,0,0.0,0,42.0,0,0,632.0,1.0,False,18,6,10,6709.0,1690.0,172.0,1640.0,498.0,589.0,529.0,1657.0,967.8571428571429,663.1323217808616,1167.3333333333333,862.3464114457329,1000.0,779.5913459413634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
